record_id,room_no,block,occupant_name,complaint_type,reported_date,status,resolved_date,is_delayed
1,102,B,Student_1,Cleaning,2026-01-04,In Progress,,1
2,103,C,Student_2,None,,None,,0
3,104,C,Student_3,Carpentry,2026-01-23,In Progress,,1
4,105,B,Student_4,Carpentry,2026-01-21,In Progress,,1
5,106,B,Student_5,Carpentry,2026-01-22,Pending,,1
6,107,A,Student_6,Cleaning,2026-01-17,Resolved,2026-01-22,1
7,108,A,Student_7,None,,None,,0
8,109,A,Student_8,Plumbing,2026-02-09,Resolved,2026-02-10,0
9,110,C,Student_9,None,,None,,0
10,111,A,Student_10,Electrical,2026-02-05,In Progress,,1
11,112,C,Student_11,Electrical,2026-01-26,In Progress,,1
12,113,A,Student_12,Electrical,2026-02-01,Resolved,2026-02-04,0
13,114,C,Student_13,Cleaning,2026-01-16,In Progress,,1
14,115,A,Student_14,Carpentry,2026-01-24,In Progress,,1
15,116,A,,Plumbing,2026-01-06,In Progress,,1
16,117,B,Student_16,Carpentry,2026-02-09,Pending,,1
17,118,B,Student_17,Carpentry,2026-01-23,In Progress,,1
18,119,B,Student_18,None,,None,,0
19,120,C,Student_19,Plumbing,2026-02-04,Resolved,2026-02-08,1
20,101,B,Student_20,Cleaning,2026-01-08,In Progress,,1
21,102,C,Student_21,None,,None,,0
22,103,A,Student_22,None,,None,,0
23,104,A,Student_23,Cleaning,2026-01-14,In Progress,,1
24,105,B,Student_24,Cleaning,2026-01-05,Resolved,2026-01-10,1
25,106,C,Student_25,Plumbing,2026-02-08,In Progress,,1
26,107,A,Student_26,Carpentry,2026-01-26,Pending,,1
27,108,C,Student_27,Cleaning,2026-01-11,In Progress,,1
28,109,A,Student_28,None,,None,,0
29,110,A,Student_29,Plumbing,2026-02-08,Pending,,1
30,111,C,Student_30,Electrical,2026-02-03,In Progress,,1
31,112,C,Student_31,Plumbing,2026-01-17,Resolved,2026-01-19,0
32,113,C,Student_32,None,,None,,0
33,114,A,Student_33,Electrical,2026-01-20,Resolved,2026-01-22,0
34,115,C,Student_34,Carpentry,2026-01-23,Pending,,1
35,116,A,Student_35,Carpentry,2026-01-06,In Progress,,1
36,117,C,Student_36,None,,None,,0
37,118,C,Student_37,None,,None,,0
38,119,A,Student_38,Plumbing,2026-01-29,Pending,,1
39,120,A,Student_39,Plumbing,2026-01-15,Pending,,1
40,101,C,Student_40,None,,None,,0
41,102,B,Student_41,None,,None,,0
42,103,B,Student_42,Carpentry,2026-01-31,Pending,,1
43,104,C,Student_43,Plumbing,2026-01-08,In Progress,,1
44,105,B,Student_44,Cleaning,2026-02-02,In Progress,,1
45,106,A,Student_45,Electrical,2026-01-02,In Progress,,1
46,107,A,Student_46,Carpentry,2026-01-09,Resolved,2026-01-11,0
47,108,C,Student_47,None,,None,,0
48,109,C,Student_48,Electrical,2026-01-22,Pending,,1
49,110,C,Student_49,Carpentry,2026-01-17,In Progress,,1
50,111,C,Student_50,Electrical,2026-01-05,In Progress,,1
51,112,B,Student_51,Carpentry,2026-01-07,Resolved,2026-01-09,0
52,113,B,Student_52,Carpentry,2026-01-20,Resolved,2026-01-25,1
53,114,B,Student_53,Carpentry,2026-01-02,In Progress,,1
54,115,B,Student_54,Electrical,2026-01-18,Resolved,2026-01-20,0
55,116,A,Student_55,Carpentry,2026-01-06,Pending,,1
56,117,B,Student_56,Electrical,2026-01-08,Pending,,1
57,118,A,Student_57,None,,None,,0
58,119,B,Student_58,Plumbing,2026-01-09,Pending,,1
59,120,A,Student_59,Carpentry,2026-01-30,Resolved,2026-01-31,0
60,101,A,Student_60,Cleaning,2026-02-06,Pending,,1
61,102,A,Student_61,Carpentry,2026-01-20,Pending,,1
62,103,C,Student_62,Carpentry,2026-01-08,In Progress,,1
63,104,C,Student_63,Electrical,2026-01-14,Resolved,2026-01-15,0
64,105,B,Student_64,Plumbing,2026-02-01,In Progress,,1
65,106,C,Student_65,Cleaning,2026-01-12,In Progress,,1
66,107,A,Student_66,Plumbing,2026-02-03,In Progress,,1
67,108,C,Student_67,Cleaning,2026-01-02,In Progress,,1
68,109,A,Student_68,None,,None,,0
69,110,A,Student_69,None,,None,,0
70,111,C,Student_70,None,,None,,0
71,112,C,Student_71,Cleaning,2026-01-20,In Progress,,1
72,113,A,Student_72,Plumbing,2026-02-10,Resolved,2026-02-13,0
73,114,C,Student_73,None,,None,,0
74,115,C,Student_74,Cleaning,2026-01-26,Pending,,1
75,116,A,Student_75,Carpentry,2026-01-10,In Progress,,1
76,117,A,Student_76,Cleaning,2026-01-08,In Progress,,1
77,118,C,Student_77,Plumbing,2026-01-21,In Progress,,1
78,119,C,Student_78,Electrical,2026-01-05,Resolved,2026-01-08,0
79,120,B,Student_79,Carpentry,2026-01-20,In Progress,,1
80,101,A,Student_80,Cleaning,2026-01-21,Pending,,1
81,102,C,Student_81,None,,None,,0
82,103,C,Student_82,Plumbing,2026-02-09,Pending,,1
83,104,C,Student_83,None,,None,,0
84,105,B,Student_84,Electrical,2026-01-25,Pending,,1
85,106,A,Student_85,Carpentry,2026-02-08,In Progress,,1
86,107,B,Student_86,Cleaning,2026-01-19,Pending,,1
87,108,A,Student_87,Cleaning,2026-01-20,Resolved,2026-01-25,1
88,109,A,Student_88,Carpentry,2026-01-23,Resolved,2026-01-27,1
89,110,C,Student_89,None,,None,,0
90,111,A,Student_90,None,,None,,0
91,112,C,Student_91,Plumbing,2026-01-11,Pending,,1
92,113,C,Student_92,Plumbing,2026-01-26,Pending,,1
93,114,C,Student_93,Plumbing,2026-01-02,Pending,,1
94,115,B,Student_94,Carpentry,2026-01-14,Resolved,2026-01-17,0
95,116,A,Student_95,Plumbing,2026-01-16,Resolved,2026-01-18,0
96,117,A,Student_96,Carpentry,2026-01-02,In Progress,,1
97,118,C,Student_97,Cleaning,2026-01-05,In Progress,,1
98,119,C,Student_98,Cleaning,2026-01-23,Pending,,1
99,120,C,Student_99,None,,None,,0
100,101,B,Student_100,None,,None,,0
